STT;Loại hàng hóa;Tên hàng hóa;Đơn vị tính;Thông số kỹ thuật;Giá thẩm định(VND);Chứng thư thẩm định số;Ngày thẩm định;Nguồn dữ liệu;Người thẩm định
31;;Thuê 02 chuyên gia lập đề cương nghiên cứu tổng quan, xây dựng hệ thống đề tài tham luận hội thảo: - Thời gian: 01 tuần (07 ngày)-Theo đó mức lương chuyên gia theo tuần bằng [(30000000*12/52] x 1,2 = 8307692 đ người/tuần x 01 tuần;Người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận;8307692;405/2025/279/CTTĐG-VNVIC;28/11/2025;căn cứ theo: Mục 2, điều 3,  Thông tư số 02/2015/TT-BLĐTBXH ngày 12 tháng 01 năm 2015 của Bộ Lao động - Thương binh và Xã hội quy định mức lương đối với chuyên gia tư vấn trong nướcChuyên gia Mức 2;Đỗ Tiến Hưng
32;;Thuê xe 05 chỗ đi từ thành phố Thanh Hóa đến Hà Nội và ngược lại;Ngày;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-B)Làm việc, phối hợp với các chuyên gia xin ý kiến về nội dung tổ chức Hội thảo;2000000;405/2025/279/CTTĐG-VNVIC;28/11/2025;mục 11, khoản II, Điều 1, NQ 64/2017/NQ-HĐND  ngày 12/7/2017 và theo thực tế;Đỗ Tiến Hưng
33;;Phụ cấp lưu trú: 04 người x 200000 đ/người/ngày x 04 ngày;người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-B)Làm việc, phối hợp với các chuyên gia xin ý kiến về nội dung tổ chức Hội thảo;800000;405/2025/279/CTTĐG-VNVIC;28/11/2025;khoản 2, mục II, NQ 64/2017/NQ-HĐND ngày 12/7/2017;Đỗ Tiến Hưng
34;;Kinh phí thuê phòng nghỉ:  04 người x 350000 đ/người/ngày x 03 đêm;người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-B)Làm việc, phối hợp với các chuyên gia xin ý kiến về nội dung tổ chức Hội thảo;1050000;405/2025/279/CTTĐG-VNVIC;28/11/2025;mục II33,1   NQ 64/2017/NQ-HĐND ngày 12/7/2017;Đỗ Tiến Hưng
35;;In tài liệu phục vụ hội nghị (Photo 2 mặt giấy A4) 86 tờ/bộ ;Bộ;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-C-Họp thẩm định xác định nhiệm vụ đề tài, xác định nội dung hệ thống đề tài tham luận hội thảo;30100;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
36;;Tiền nước uống: 26 người x 20000đ/người/buổi;Người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-C-Họp thẩm định xác định nhiệm vụ đề tài, xác định nội dung hệ thống đề tài tham luận hội thảo;20000;405/2025/279/CTTĐG-VNVIC;28/11/2025;"Mục IV 4; NQ 64/2017/NQ-HĐND ngày 12/7/2017";Đỗ Tiến Hưng
37;;Chi thuê chuyên gia nghiên cứu báo cáo tổng quan thẩm định hệ thống đề tài, hệ thống đề cương tham luận (xây dựng thuyết minh nhiệm vụ Hội thảo, báo cáo tổng quan vấn đề cần nghiên cứu): Thời gian: 3 tuần (21 ngày) 01 người, thời gian 3 tuần = [(30000000*12/52] x 1,2 x 3 = 24923077đ/người;Người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận;24923077;405/2025/279/CTTĐG-VNVIC;28/11/2025;Căn cứ theo: Mục 2, điều 3,  Thông tư số 02/2015/TT-BLĐTBXH ngày 12 tháng 01 năm 2015 của Bộ Lao động - Thương binh và Xã hội quy định mức lương đối với chuyên gia tư vấn trong nước;Đỗ Tiến Hưng
38;;Thuê xe 05 chỗ đi từ thành phố Thanh Hóa đến các huyện và ngược lại ;Ngày;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-D)Khảo sát địa điểm tổ chức Hội thảo;2000000;405/2025/279/CTTĐG-VNVIC;28/11/2025;mục 11, khoản II, Điều 1, NQ 64/2017/NQ-HĐND  ngày 12/7/2017;Đỗ Tiến Hưng
39;;Phụ cấp lưu trú: 04 người x 200000 đ/người/ngày x 04 ngày;người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-D)Khảo sát địa điểm tổ chức Hội thảo;800000;405/2025/279/CTTĐG-VNVIC;28/11/2025;khoản 2, mục II, NQ 64/2017/NQ-HĐND ngày 12/7/2017;Đỗ Tiến Hưng
40;;Kinh phí thuê phòng nghỉ:  04 người x 350000 đ/người/ngày x 03 đêm;người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-Đ)Khảo sát địa điểm tổ chức Hội thảo;1050000;405/2025/279/CTTĐG-VNVIC;28/11/2025;mục II33,1   NQ 64/2017/NQ-HĐND ngày 12/7/2017;Đỗ Tiến Hưng
41;;In tài liệu phục vụ hội nghị: Photo 2 mặt giấy A4, 300 tờ ;Bộ;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-E)Họp Hội đồng tư vấn, tuyển chọn hệ thống tham luận Hội thảo khoa học;105000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
42;;Tiền nước uống 27 người x 20000đ/người/buổi;Người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-E)Họp Hội đồng tư vấn, tuyển chọn hệ thống tham luận Hội thảo khoa học;20000;405/2025/279/CTTĐG-VNVIC;28/11/2025;"Mục IV 4; NQ 64/2017/NQ-HĐND ngày 12/7/2017";Đỗ Tiến Hưng
43;;In tài liệu phục vụ hội nghị: Photo 2 mặt giấy A4, 300 tờ ;Bộ;"III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-F)Họp Hội đồng thẩm định hệ đề tài, hệ thống tham luận; Họp Ban tổ chức triển khai nhiệm vụ, thực hiện kế hoạch tổ chức Hội Thảo";105000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
44;;Tiền nước uống 29 người x 20000đ/người/buổi;Người;"III-TỔ CHỨC HỘI THẢO KHOA HỌC: 1Chi phí xây dựng báo cáo nghiên cứu tổng quan và hệ thống đề tài tham luận-F)Họp Hội đồng thẩm định hệ đề tài, hệ thống tham luận; Họp Ban tổ chức triển khai nhiệm vụ, thực hiện kế hoạch tổ chức Hội Thảo";20000;405/2025/279/CTTĐG-VNVIC;28/11/2025;"Mục IV 4; NQ 64/2017/NQ-HĐND ngày 12/7/2017";Đỗ Tiến Hưng
45;;Thù lao cho chuyên gia góp ý về nội dung tổ chức Hội thảo: - Thời gian: 01 ngày( Theo đó mức lương chuyên gia theo tuần bằng [(30000000/26] x 1,3 = 1500000 đ người/ngày x 01 ngày);Người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học - A)Tổ chức hội nghị làm việc, phối hợp với các chuyên gia xin ý kiến về nội dung tổ chức Hội thảo;1500000;405/2025/279/CTTĐG-VNVIC;28/11/2025;Căn cứ theo: Mục 2, điều 3,  Thông tư số 02/2015/TT-BLĐTBXH ngày 12 tháng 01 năm 2015 của Bộ Lao động - Thương binh D49 - Áp dụng cho chuyên gia mức 2;Đỗ Tiến Hưng
46;;In tài liệu phục vụ hội nghị: Photo 2 mặt giấy A4, 300 tờ;Bộ;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học - A)Tổ chức hội nghị làm việc, phối hợp với các chuyên gia xin ý kiến về nội dung tổ chức Hội thảo;105000;405/2025/279/CTTĐG-VNVIC;28/11/2025;Xác định theo báo giá của Công ty TNHH đầu tư phát triển công nghệ Tuấn Phát;Đỗ Tiến Hưng
47;;Tiền nước uống (11 người x 40000đ/người/ngày x 1 ngày);Người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học - A)Tổ chức hội nghị làm việc, phối hợp với các chuyên gia xin ý kiến về nội dung tổ chức Hội thảo;40000;405/2025/279/CTTĐG-VNVIC;28/11/2025;"Mục IV 4; NQ 64/2017/NQ-HĐND ngày 12/7/2017";Đỗ Tiến Hưng
48;;Kinh phí chi trả thù lao cho chuyên gia xây dựng báo cáo tham luận  - Thời gian: 5 ngày(Theo đó mức lương chuyên gia theo tuần bằng [(30000000/26] x 1,3 = 1500000 đ người/ngày x 5 ngày);Người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học ;7500000;405/2025/279/CTTĐG-VNVIC;28/11/2025;Căn cứ theo: Mục 2, điều 3,  Thông tư số 02/2015/TT-BLĐTBXH ngày 12 tháng 01 năm 2015 của Bộ Lao động - Thương binh và Xã hội quy định mức lương đối với chuyên gia tư vấn trong nước( Áp dụng cho chuyên gia mức 2);Đỗ Tiến Hưng
49;;"Phong bì, Giấy mời in tên đại biểu:-Giấy mời kích thước: 25x25cm, Giấy Couche, in 4 màu 2 mặt, cắt bế thành phẩm; Phong bì kích thước: 14x26, Giấy Couche, in 4 màu, cắt bế dán thành phẩm, băng dính chờ 1cm;  In sẵn tên đại biểu";Bộ;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;38500;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
50;;"Bộ thẻ đeo Đại biểu
- Thẻ KT: 8,5x12cm, Couche in màu 2 mặt
- Bao nhựa trong, Dây màu xanh
- Lồng thẻ vào bao nhựa, lồng dây";Bộ;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;25000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
51;;"In Biển tên chức danh
- Giấy Couche, khổ A4
- In 4 màu 2 mặt";Cái;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;20000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
52;;Thuê xe ô tô vận chuyển đưa các nhà khoa học đi khảo sát thực địa, xác minh thu thập tư liệu lịch sử trên vùng đất Thủy Chú để chuẩn bị Hội thảo khoa học (xe 16 chỗ);Ngày;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;3240000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
53;;Thuê xe đưa lãnh đạo Hội KHLS đi Hà Nội đặt bài tham luận Hội thảo khoa học (xe ô tô 7 chỗ);Ngày ;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;2888000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
54;;Thuê xe ô tô đón, đưa lãnh đạo Hội KHLS từ  TP Thanh Hóa - Thị trấn Sao Vàng và ngược lại dự Hội thảo khoa học (xe ô tô 7 chỗ);Ngày;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;1750000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
55;;Thuê xe đưa đón đại biểu từ Hà Nội vào thị trấn Sao Vàng, huyện Thọ Xuân và ngược lại Xe ô tô 7 chỗ;Ngày;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;2646000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
56;;Thuê xe ô tô đưa đón đại biểu từ TP Thanh Hóa - thị trấn Sao Vàng, Thọ Xuân và ngược lại tham dự Hội thảo khoa học;Ngày ;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;3100000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
57;;Thanh toán công tác phí cho cán bộ đi Hà Nội và dưa đón đại biểu vào dự Hội thảo khoa học: 200000đ/ngày/người;Ngày;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;200000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
58;;Tiền phòng nghỉ cho đoàn đại biểu ở Hà Nội vào tham dự hội thảo (số lượng 7 người x 1 đêm x 450000đ/người/đêm);Người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;450000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
59;;In tài tài liệu (300 trang x 60 bộ);Bộ;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;105000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
60;;Túi đựng tài liệu ;Cái;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;5000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
61;;Hoa chủ tọa;Lẵng;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;1632092;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
62;;Hoa để bàn;Bát;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;100000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
63;;Chi phí nước uống phục vụ hội thảo (40000đ/người/ngày x 60 người x 01 ngày);Người;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;40000;405/2025/279/CTTĐG-VNVIC;28/11/2025;"Mục IV 4; NQ 64/2017/NQ-HĐND ngày 12/7/2017";Đỗ Tiến Hưng
64;;Thiết kế, in ấn standee chào mừng 2 bên sảnh hội trường : chất liệu bạt cao cấp, kích thước 80cm x 200cm;Cái;III-TỔ CHỨC HỘI THẢO KHOA HỌC: 2Kinh phí tổ chức Hội thảo Khoa học -C) Hội trường, Giấy mời, biển thẻ, trang trí, khánh tiết, hậu cần;500000;405/2025/279/CTTĐG-VNVIC;28/11/2025;;Đỗ Tiến Hưng
