source,source_label,target,target_label,relation,relation_label
vat_tu/4_chi_phi,Chi phí,concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/4_chi_phi,Chi phí,concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/4_chi_phi,Chi phí,data/price/800_000,800.000,co_gia,có giá
vat_tu/4_chi_phi,Chi phí,data/unit/phong,phòng,co_don_vi_tinh,có đơn vị tính
vat_tu/4_chi_phi,Chi phí,data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/4_chi_phi,Chi phí,data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/4_chi_phi,Chi phí,data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/4_chi_phi,Chi phí,data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/4_chi_phi,Chi phí,data/spec/4.0,"Chi phí tiền phòng nghỉ cho các đoàn khách: Bộ VH,TTDL; Cục Di sản văn hóa; Cục Văn hóa cơ sở; Cục Mỹ thuật, nhiếp ản...",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/5_chi_phi,Chi phí,concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/5_chi_phi,Chi phí,concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/5_chi_phi,Chi phí,concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/5_chi_phi,Chi phí,concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/5_chi_phi,Chi phí,concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/5_chi_phi,Chi phí,data/price/300_000,300.000,co_gia,có giá
vat_tu/5_chi_phi,Chi phí,data/unit/nguoi,người,co_don_vi_tinh,có đơn vị tính
vat_tu/5_chi_phi,Chi phí,data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/5_chi_phi,Chi phí,data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/5_chi_phi,Chi phí,data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/5_chi_phi,Chi phí,data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/5_chi_phi,Chi phí,data/spec/5.0,"Chi phí ăn cho các đoàn khách: Bộ VH,TTDL; Cục Di sản văn hóa; Cục Văn hóa cơ sở; Cục Mỹ thuật, nhiếp ảnh và triển lã...",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/6_chi_phi,Chi phí,concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/6_chi_phi,Chi phí,concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/6_chi_phi,Chi phí,concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/6_chi_phi,Chi phí,concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/6_chi_phi,Chi phí,concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/6_chi_phi,Chi phí,data/price/800_000,800.000,co_gia,có giá
vat_tu/6_chi_phi,Chi phí,data/unit/phong,phòng,co_don_vi_tinh,có đơn vị tính
vat_tu/6_chi_phi,Chi phí,data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/6_chi_phi,Chi phí,data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/6_chi_phi,Chi phí,data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/6_chi_phi,Chi phí,data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/6_chi_phi,Chi phí,data/spec/6.0,"Chi phí phòng nghỉ cho phóng viên các Đài truyền hình VN,   VTV3, VTV1, VTV2, Báo Văn hóa, Báo dân trí, Báo lao động,...",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/7_chi_phi,Chi phí,concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/7_chi_phi,Chi phí,concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/7_chi_phi,Chi phí,concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/7_chi_phi,Chi phí,concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/7_chi_phi,Chi phí,concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/7_chi_phi,Chi phí,data/price/300_000,300.000,co_gia,có giá
vat_tu/7_chi_phi,Chi phí,data/unit/nguoi,người,co_don_vi_tinh,có đơn vị tính
vat_tu/7_chi_phi,Chi phí,data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/7_chi_phi,Chi phí,data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/7_chi_phi,Chi phí,data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/7_chi_phi,Chi phí,data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/7_chi_phi,Chi phí,data/spec/7.0,"Chi phí ăn cho phóng viên các Đài truyền hình VH,  VTV3, VTV1, VTV2, Báo Văn hóa, Báo dân trí, Báo lao động, Báo điện...",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/8_giay_moi,Giấy mời,concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/8_giay_moi,Giấy mời,concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/8_giay_moi,Giấy mời,concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/8_giay_moi,Giấy mời,concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/8_giay_moi,Giấy mời,concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/8_giay_moi,Giấy mời,data/price/15_000,15.000,co_gia,có giá
vat_tu/8_giay_moi,Giấy mời,data/unit/cai,cái,co_don_vi_tinh,có đơn vị tính
vat_tu/8_giay_moi,Giấy mời,data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/8_giay_moi,Giấy mời,data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/8_giay_moi,Giấy mời,data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/8_giay_moi,Giấy mời,data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/8_giay_moi,Giấy mời,data/spec/8.0,"Giấy mời: KT 19,5 x 22,6cm; Giấy ý màu kem, vân ganh (sần)",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/9_phong_bi,Phong bì,concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/9_phong_bi,Phong bì,concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/9_phong_bi,Phong bì,concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/9_phong_bi,Phong bì,concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/9_phong_bi,Phong bì,concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/9_phong_bi,Phong bì,data/price/15_000,15.000,co_gia,có giá
vat_tu/9_phong_bi,Phong bì,data/unit/cai,cái,co_don_vi_tinh,có đơn vị tính
vat_tu/9_phong_bi,Phong bì,data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/9_phong_bi,Phong bì,data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/9_phong_bi,Phong bì,data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/9_phong_bi,Phong bì,data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/9_phong_bi,Phong bì,data/spec/9.0,"Phong bì: KT: 12 x 21 cm; Giấy ý màu kem, vân ganh (sần)",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",data/price/12_000,12.000,co_gia,có giá
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",data/unit/bo,bộ,co_don_vi_tinh,có đơn vị tính
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/10_the_dai_bieu_kich_thuoc,"Thẻ đại biểu, kích thước",data/spec/10.0,"Thẻ đại biểu, kích thước: 8,5 x 13cm, in hai mặt (gồm giấy in, thẻ nhựa và dây đeo 1,5cm)",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",data/price/12_000,12.000,co_gia,có giá
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",data/unit/bo,bộ,co_don_vi_tinh,có đơn vị tính
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/11_the_ban_to_chuc_kich_thuoc,"Thẻ ban tổ chức, kích thước",data/spec/11.0,"Thẻ ban tổ chức, kích thước: 8,5 x13cm, in hai mặt",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",data/price/12_000,12.000,co_gia,có giá
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",data/unit/bo,bộ,co_don_vi_tinh,có đơn vị tính
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/12_the_phong_vien_kich_thuoc,"Thẻ Phóng viên, kích thước",data/spec/12.0,"Thẻ Phóng viên, kích thước: 8,5 x13cm, in hai mặt",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",data/price/12_000,12.000,co_gia,có giá
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",data/unit/bo,bộ,co_don_vi_tinh,có đơn vị tính
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/13_the_vip_kich_thuoc,"Thẻ VIP, kích thước",data/spec/13.0,"Thẻ VIP, kích thước: 8,5 x 13cm, in hai mặt",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",data/price/12_000,12.000,co_gia,có giá
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",data/unit/bo,bộ,co_don_vi_tinh,có đơn vị tính
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/14_the_phuc_vu_kich_thuoc,"Thẻ phục vụ, kích thước",data/spec/14.0,"Thẻ phục vụ, kích thước: 8,5 x 13cm, in hai mặt",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",data/price/10_000,10.000,co_gia,có giá
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",data/unit/cai,cái,co_don_vi_tinh,có đơn vị tính
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/15_bien_vip_kich_thuoc,"Biển VIP, kích thước",data/spec/15.0,"Biển VIP, kích thước: 25 x 16cm (in 1 mặt giấy Couches Nhật bóng, ĐL 250gm)",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/16_bien_ban_to_chuc_kich_thuoc,"Biển ban tổ chức, kích thước",concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/16_bien_ban_to_chuc_kich_thuoc,"Biển ban tổ chức, kích thước",concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/16_bien_ban_to_chuc_kich_thuoc,"Biển ban tổ chức, kích thước",concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/16_bien_ban_to_chuc_kich_thuoc,"Biển ban tổ chức, kích thước",concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/16_bien_ban_to_chuc_kich_thuoc,"Biển ban tổ chức, kích thước",concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/16_bien_ban_to_chuc_kich_thuoc,"Biển ban tổ chức, kích thước",data/price/10_000,10.000,co_gia,có giá
vat_tu/16_bien_ban_to_chuc_kich_thuoc,"Biển ban tổ chức, kích thước",data/unit/cai,cái,co_don_vi_tinh,có đơn vị tính
vat_tu/16_bien_ban_to_chuc_kich_thuoc,"Biển ban tổ chức, kích thước",data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/16_bien_ban_to_chuc_kich_thuoc,"Biển ban tổ chức, kích thước",data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/16_bien_ban_to_chuc_kich_thuoc,"Biển ban tổ chức, kích thước",data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/16_bien_ban_to_chuc_kich_thuoc,"Biển ban tổ chức, kích thước",data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
